jxnatc	@RondaRousey Good luck tonight Rowdy! We're pulling for you! #NoToISIS #Prayers4Paris	0	0.1668286021
ashuneras	this is such a good question	0	0.7917093079
CSULBASI	Have you ever wondered what major fits your extracurricular interests? Well now you can find out with one simple quiz! ‚†Ä ‚†Ä Take the quiz https://bit.ly/2XXpPGD	0	0.08726655302
dqkidd	#KSATFIESTA hello Leilana, Eli, Maxi, Aliyah, Carmen, Gabby, Ellie and paul watching the parade!!!!!! Quirogas &amp; Amayas Viva Fiesta!!!!	0	0.8614754005
Khen_Bee	If you want to leave, take good care. Hope you have a lot of nice things to wear, but then a lot of nice things turn bad out there.	0	0.5141424953
douglvslee	Regina Hall was my first girl crush. her character in Malibu‚Äôs Most Wanted did something to my lil hormones.	0	0.2373393936
lilwolf___	how do girls take cute tongue out pics??? I look like I‚Äôm ab to slob on a knob when I do that shit	0	0.9914943514
thebabydoll__	So did he really pass or what ?	0	0.3625227606
abubakerdimshqi	from the Heart love and respect for all #MUJAHDIN in BILAD #ALSHAM  Brothers&amp;Sisters you are our hope to lead us to right way #IS	1	0.04137235476
robertmanoin	you misspelled RED omg	0	0.4379038091
kwuchu	Bro, those cost savings are dummy high, lmao. I don't blame you.	0	0.03916482953
MaghrabiArabi	“The squeeze of the grave 😢 Must See Ya Muslimin.     (Diwanul Imam Ash Shafi’i, pg. 68) https://t.co/yAkX9YADqE	1	0.9991597413
John26885660	It won‚Äôt let me dm	0	0.8650728722
wayf44rerr	@mozlemgurl man is kufr, until his kufr in taghut is proven with evidence, and some say that if you don't make takfir on 3673th in the chain	1	0.774557361
TheAquilaOculus	@twitter How come my acct was temp locked? Is it bcoz of my hashtags #NoToBinay #NoToDuterte #NoToChina #NoToISIS #NoToPaPogiPulitiko ?	0	0.07881783559
shippychaos	yessssss! good luck!	0	0.3019927
dr2caramelo	What‚Äôs it about and where can I watch it?	0	0.5860134307
long_alina	Saw 77 as I saw this	0	0.6757897819
